FYNR,Fylke,#,Navn,Parti,Tilrådingens punkt A,Lovens overskrift og loven i sin helhet,Vara for:,Twitter,Facebook,Blog,Bilde
9,Aust-Agder,1,Freddy de Ruiter,A,For,For,,,,,http://www.stortinget.no/Personimages/PersonImages_Large/FR_stort.jpg
9,Aust-Agder,2,Ingebjørg Godskesen,FrP,Mot,Mot,,,http://www.facebook.com/igodskesen,,http://www.stortinget.no/Personimages/PersonImages_Large/IAG_stort.jpg
9,Aust-Agder,3,Svein Harberg,H,For,For,,,,,http://www.stortinget.no/Personimages/PersonImages_Large/SHAR_stort.jpg
9,Aust-Agder,4,Kjell Ingolf Ropstad,KrF,Mot,Mot,,http://twitter.com/kjellingolf,http://www.facebook.com/kjellingolf,,http://www.stortinget.no/Personimages/PersonImages_Large/KJR_stort.jpg
10,Vest-Agder,5,Tor Sigbjørn Utsogn,FrP,Mot,Mot,,http://twitter.com/TorUtsogn,http://www.facebook.com/torsigbjorn.utsogn
10,Vest-Agder,6,Kari Henriksen,A,For,For,,http://www.twitter.com/karhenr,http://www.facebook.com/karhenr2
10,Vest-Agder,7,Peter Skovholt Gitmark,H,For,For,,,http://www.facebook.com/petersgitmark
10,Vest-Agder,8,Dagrun Eriksen,KrF,Mot,Mot,,http://twitter.com/KrFDagrun
10,Vest-Agder,9,Henning Skumsvoll,FrP,Mot,Mot
10,Vest-Agder,10,Alf Egil Holmelid,SV,Mot,Mot
2,Akershus,11,Sverre Myrli,A,For,For,,,http://www.facebook.com/profile.php?id=571130980
2,Akershus,12,Morten Høglund,FrP,Mot,Mot
2,Akershus,13,Jan Tore Sanner,H,For,For,,http://twitter.com/jantoresanner,http://www.facebook.com/jantoresanner,http://www.jantoresanner.no/
2,Akershus,14,Marianne Aasen,A,For,For,,http://twitter.com/fabena,http://www.facebook.com/marianne.aaa,http://marianne.mittap.no/-/sandbox/show?ref=mst
2,Akershus,15,Kari Kjønaas Kjos,FrP,Mot,Mot,,http://twitter.com/karikjonaaskjos,http://www.facebook.com/karikjonaaskjos
2,Akershus,16,Sonja Irene Sjøli,H,For,For
2,Akershus,17,Gunvor Eldegard,A,For,For,,http://www.twitter.com/gunvoreldegard,http://www.facebook.com/gunvor.eldegard
2,Akershus,18,Hans Frode Kielland Asmyhr,FrP,Mot,Mot,,,http://www.facebook.com/people/Hans-Frode-Kielland-Asmyhr/100000093766449
2,Akershus,19,Gorm Kjernli,A,For,For,,http://www.twitter/gormk,http://www.facebook.com/profile.php?id=806990200
2,Akershus,20,Sylvi Graham,H,For,For
2,Akershus,21,Bård Vegar Solhjell,SV,Mot,Mot,,http://twitter.com/bardvegar,http://www.facebook.com/bardvegar
2,Akershus,22,Are Helseth,A,For,For,Anniken Huitfeldt
2,Akershus,23,Borghild Tenden,V,Mot,Mot
2,Akershus,24,Ib Thomsen,FrP,Mot,Mot
2,Akershus,25,Bente Stein Mathisen,H,For,For
2,Akershus,26,Knut Arild Hareide,KrF,Mot,Mot
6,Buskerud,27,Martin Kolberg,A,For,For
6,Buskerud,28,Ulf Erik Knudsen,FrP,Mot,Mot
6,Buskerud,29,Trond Helleland,H,For,For
6,Buskerud,30,Lise Christoffersen,A,For,For,,,http://www.facebook.com/profile.php?id=100000541671738
6,Buskerud,31,Jørund Rytman,FrP,Mot,Mot
6,Buskerud,32,Kjell Børre Hansen,A,For,For
6,Buskerud,33,Anders B. Werp,H,For,For
6,Buskerud,34,Laila Gustavsen,A,For,For,,http://www.twitter.com/lailagustavsen,http://www.facebook.com/profile.php?id=537967272
6,Buskerud,35,Per Olaf Lundteigen,Sp,Mot,Mot
20,Finnmark,36,Willy Pedersen,A,For,For,,http://www.twitter.com/PedersenW,http://www.facebook.com/profile.php?id=100001911273058
20,Finnmark,37,Jan-Henrik Fredriksen,FrP,Mot,Mot
20,Finnmark,38,Kåre Simensen,A,For,For,,http://www.twitter.com/karesim,http://www.facebook.com/profile.php?id=1425847514
20,Finnmark,39,Ingalill Olsen,A,For,For,,,http://www.facebook.com/profile.php?id=576865333
20,Finnmark,40,Frank Bakke-Jensen,H,For,For
4,Hedmark,41,Anette Trettebergstuen,A,For,For,,http://www.twitter.com/Trettebergstuen,http://www.facebook.com/profile.php?id=705425328
4,Hedmark,42,Thomas Breen,A,For,For,,http://www.twitter.com/thbreen,http://www.facebook.com/people/Thomas-Breen/826150622
4,Hedmark,43,Per Roar Bredvold,FrP,Mot,Mot
4,Hedmark,44,Tone Merete Sønsterud,A,For,For,,,http://www.facebook.com/tone.sonsterud
4,Hedmark,45,Trygve Slagsvold Vedum,Sp,Mot,Mot
4,Hedmark,46,Gunnar Gundersen,H,For,For
4,Hedmark,47,Thor Lillehovde,A,For,For,Knut Storberget
4,Hedmark,48,Karin Andersen,SV,Mot,Mot
12,Hordaland,49,Hilde Magnusson,A,For,For,,,http://nb-no.facebook.com/people/Hilde-Magnusson/542961422
12,Hordaland,50,Arne Sortevik,FrP,Mot,Mot
12,Hordaland,51,Erna Solberg,H,For,For,,http://twitter.com/erna_solberg,http://www.facebook.com/ernasolberg
12,Hordaland,52,Dag Ole Teigen,A,For,For,,http://www.twitter.com/dagoleteigen,http://www.facebook.com/people/Dag-Ole-Teigen/725111183
12,Hordaland,53,Gjermund Hagesæter,FrP,Mot,Mot
12,Hordaland,54,Øyvind Halleraker,H,For,For
12,Hordaland,55,Magne Rommetveit,A,For,For
12,Hordaland,56,Laila Dåvøy,KrF,Mot,Mot
12,Hordaland,57,Karin S. Woldseth,FrP,Mot,Mot
12,Hordaland,58,Roald Aga Haug,A,For,For
12,Hordaland,59,Henning Warloe,H,Mot,Mot
12,Hordaland,60,Kjersti Toppe,Sp,Mot,Mot
12,Hordaland,61,Gina Knutson Barstad,SV,Mot,Mot
12,Hordaland,62,Jette F. Christensen,A,For,For
12,Hordaland,63,Laila Marie Reiertsen,FrP,Mot,Mot
15,Møre og Romsdal,64,Else-May Botten,A,For,For,,http://www.twitter.com/elsemay,http://www.facebook.com/profile.php?id=613301609&sk=wall,http://www.elsemay.no/
15,Møre og Romsdal,65,Harald T. Nesvik,FrP,Mot,Mot
15,Møre og Romsdal,66,Elisabeth Røbekk Nørve,H,For,For
15,Møre og Romsdal,67,Eva Vinje Aurdal,A,For,For
15,Møre og Romsdal,68,Oskar J. Grimstad,FrP,Mot,Mot
15,Møre og Romsdal,69,Tove-Lise Torve,A,For,For,,http://www.twitter.com/ToveLiseTorve,http://www.facebook.com/profile.php?id=644326801
15,Møre og Romsdal,70,Jenny Klinge,Sp,Mot,Mot
15,Møre og Romsdal,71,Rigmor Andersen Eide,KrF,Mot,Mot
15,Møre og Romsdal,72,Jon Georg Dale,FrP,Mot,Mot
18,Nordland,73,Tor-Arne Strøm,A,For,For
18,Nordland,74,Kenneth Svendsen,FrP,Mot,Mot
18,Nordland,75,Anna Ljunggren,A,For,For,,http://www.twitter.com/AnnaLjunggren,http://www.facebook.com/profile.php?id=828090386
18,Nordland,76,Ivar Kristiansen,H,For,For
18,Nordland,77,Kari Storstrand,FrP,Mot,Mot
18,Nordland,78,Eirik Sivertsen,A,For,For,,http://www.twitter.com/Eirikap,http://www.facebook.com/eiriksiv
18,Nordland,79,Janne Sjelmo Nordås,Sp,Mot,Mot
18,Nordland,80,Lillian Hansen,A,For,For,,,http://www.facebook.com/profile.php?id=1669902217
18,Nordland,81,Geir-Ketil Hansen,SV,Mot,Mot
18,Nordland,82,Torgeir Trældal,FrP,Mot,Mot
5,Oppland,83,Torstein Rudihagen,A,For,For,,,http://www.facebook.com/profile.php?id=1837490586
5,Oppland,84,Tore Hagebakken,A,For,For
5,Oppland,85,Morten Ørsal Johansen,FrP,Mot,Mot
5,Oppland,86,Stine Renate Håheim,A,For,For,Rigmor Aasrud,http://twitter.com/#!/StineRenate,,http://stinerenate.blogspot.com/
5,Oppland,87,Anne Tingelstad Wøien,Sp,Mot,Mot
5,Oppland,88,Olemic Thommessen,H,For,For
5,Oppland,89,Aksel Hagen,SV,Mot,Mot
3,Oslo,90,Marit Nybakk,A,For,For
3,Oslo,91,Per-Kristian Foss,H,For,For
3,Oslo,92,Siv Jensen,FrP,Mot,Mot
3,Oslo,93,Jan Bøhler,A,For,For
3,Oslo,94,Heikki Holmås,SV,Mot,Mot
3,Oslo,95,Ine M. Eriksen Søreide,H,For,For
3,Oslo,96,Marianne Marthinsen,A,For,For,,http://www.twitter.com/mariannemar,http://www.facebook.com/marianne.marthinsen
3,Oslo,97,Christian Tybring-Gjedde,FrP,Mot,Mot
3,Oslo,98,Hadia Tajik,A,For,For,,http://twitter.com/hadiatajik,http://www.facebook.com/pages/Hadia-Tajik/169998233019817,http://www.hadia.no/
3,Oslo,99,Trine Skei Grande,V,Mot,Mot
3,Oslo,100,Michael Tetzschner,H,Mot,Mot
3,Oslo,101,Håkon Haugli,A,For,For,Jens Stoltenberg,http://www.twitter.com/jensstoltenberg,http://www.facebook.com/pages/Jens-Stoltenberg/21646763580,http://jensstoltenberg.no/
3,Oslo,102,Peter N. Myhre,FrP,Mot,Mot
3,Oslo,103,Akhtar Chaudhry,SV,Mot,Mot
3,Oslo,104,Truls Wickholm,A,For,For
3,Oslo,105,Nikolai Astrup,H,Mot,Mot
3,Oslo,106,Hans Olav Syversen,KrF,Mot,Mot
11,Rogaland,107,Ketil Solvik-Olsen,FrP,Mot,Mot
11,Rogaland,108,Tore Nordtun,A,For,For
11,Rogaland,109,Bent Høie,H,For,For
11,Rogaland,110,Solveig Horne,FrP,Mot,Mot
