Sesjon	Ting	Kart	Dato
140	s	103	1996-06-10
143	s	1	1998-10-05
143	s	2	1998-10-13
143	s	3	1998-10-14
143	s	3	1998-10-15
143	s	4	1998-10-20
143	s	5	1998-10-21
143	s	6	1998-10-22
143	s	7	1998-10-27
143	s	8	1998-10-28
143	s	9	1998-10-29
143	s	10	1998-11-03
143	s	11	1998-11-04
143	s	12	1998-11-05
143	s	13	1998-11-13
143	s	14	1998-11-16
143	s	15	1998-11-17
143	s	16	1998-11-18
143	s	17	1998-11-19
143	s	18	1998-11-23
143	s	19	1998-11-24
143	s	20	1998-11-25
143	s	21	1998-11-26
143	s	22	1998-11-27
143	s	23	1998-11-30
143	s	24	1998-12-01
143	s	25	1998-12-02
143	s	26	1998-12-03
143	s	27	1998-12-04
143	s	28	1998-12-07
143	s	29	1998-12-08
143	s	30	1998-12-09
143	s	31	1998-12-10
143	s	32	1998-12-11
143	s	33	1998-12-14
143	s	34	1998-12-15
143	s	35	1998-12-16
143	s	36	1998-12-17
143	s	37	1998-12-18
143	s	38	1999-01-12
143	s	39	1999-01-13
143	s	40	1999-01-14
143	s	41	1999-01-19
143	s	42	1999-01-20
143	s	43	1999-01-21
143	s	44	1999-01-26
143	s	45	1999-01-27
143	s	46	1999-01-28
143	s	47	1999-02-02
143	s	48	1999-02-03
143	s	49	1999-02-04
143	s	50	1999-02-10
143	s	51	1999-02-11
143	s	52	1999-02-16
143	s	53	1999-02-17
143	s	54	1999-02-18
143	s	55	1999-02-23
143	s	56	1999-02-24
143	s	57	1999-02-25
143	s	58	1999-03-02
143	s	59	1999-03-03
143	s	60	1999-03-04
143	s	61	1999-03-10
143	s	62	1999-03-11
143	s	63	1999-03-16
143	s	64	1999-03-17
143	s	65	1999-03-18
143	s	66	1999-03-19
143	s	67	1999-03-22
143	s	68	1999-03-23
143	s	69	1999-03-24
143	s	70	1999-03-25
143	s	71	1999-03-26
143	s	72	1999-04-12
143	s	73	1999-04-13
143	s	74	1999-04-14
143	s	75	1999-04-15
143	s	76	1999-04-20
143	s	77	1999-04-21
143	s	78	1999-04-22
143	s	79	1999-04-26
143	s	80	1999-04-27
143	s	81	1999-04-28
143	s	83	1999-05-04
143	s	84	1999-05-05
143	s	85	1999-05-06
143	s	87	1999-05-10
143	s	88	1999-05-11
143	s	89	1999-05-12
143	s	90	1999-05-18
143	s	91	1999-05-19
143	s	92	1999-05-20
143	s	93	1999-05-25
143	s	94	1999-05-26
143	s	95	1999-05-27
143	s	96	1999-05-28
143	s	97	1999-05-31
