person_id,personal_id,initials,first_name,last_name,position_no,position_en,party_id,period_id,constituency_code_new,constituency_name,rep_id,sup_id
10206,,,Joakim Sveder,,Læge,Physician,62,68,16011,,,1
10206,,,Joakim Sveder,,Læge,"Physician, captain in the medi",62,71,88623,,4,
10206,,,Joakim Sveder,,Læge,"Physician, captain in the medi",62,74,88623,,5,
10206,,,Joakim Sveder,,Fylk,Chief county medical officer,62,77,88623,,,1
625,1959,HEPE,Asbjørn Herman,Pedersen,,,21,110,3900,Oslo,,1
252,865,KKG,Brit Kirsti Kolle,Grøndahl,Adjunkt,Teacher (Norw. <em>'adjunkt'</em>),21,122,6900,Buskerud fylke,4,
252,865,KKG,Brit Kirsti Kolle,Grøndahl,Adjunkt,Teacher (Norw. <em>'adjunkt'</em>),21,126,6900,Buskerud fylke,3,
252,865,KKG,Brit Kirsti Kolle,Grøndahl,"Adjunkt, husmor","Teacher (Norw. <em>'adjunkt'</em>), housewife",21,130,6900,Buskerud fylke,3,
252,865,KKG,Brit Kirsti Kolle,Grøndahl,"Adjunkt, husmor","Teacher (Norw. <em>'adjunkt'</em>), housewife",21,134,6900,Buskerud fylke,3,
252,865,KKG,Brit Kirsti Kolle,Grøndahl,"Stortingspresident, adjunkt","President of the Storting, teacher (Norw. <em>'adj",21,138,6900,Buskerud fylke,2,
252,865,KKG,Brit Kirsti Kolle,Grøndahl,"Stortingspresident, adjunkt","President of the Storting, teacher (Norw. <em>'adj",21,142,6900,Buskerud fylke,2,
26435,2522,WITH,Einar Wilhelm,Thøgersen,,,21,110,1900,Østfold fylke,,2
61,278,ELBJ,Erna Eleonore,Bjartveit,Lege,Physician,51,126,3900,Oslo,,1
61,278,ELBJ,Erna Eleonore,Bjartveit,Lege,Physician,51,130,3900,Oslo,,1
61,278,ELBJ,Erna Eleonore,Bjartveit,Statsråd,Councillor of State,51,134,3900,Oslo,16,
304,1025,RFH,Frøydis Ranja,Hauglid,Kontorassistent,Clerk assistant,21,126,19900,Troms fylke,5,
304,1025,RFH,Frøydis Ranja,Hauglid,Kontorfullmektig,Office clerk,21,130,19900,Troms fylke,3,
304,1025,RFH,Frøydis Ranja,Hauglid,Kontorfullmektig,Office clerk,21,134,19900,Troms fylke,3,
304,1025,RFH,Frøydis Ranja,Hauglid,Kontorfullmektig,Office clerk,21,138,19900,Troms fylke,3,
2062,1503,INLN,Gerd Ingri,Lande,,,51,122,7900,Vestfold fylke,,1
362,1238,RQH,Gerda Ragnhild Queseth,Haarstad,"Husmor, agronom",Housewife and agronomist,41,126,4900,Hedmark fylke,5,
362,1238,RQH,Gerda Ragnhild Queseth,Haarstad,Husmor,Housewife,41,130,4900,Hedmark fylke,6,
362,1238,RQH,Gerda Ragnhild Queseth,Haarstad,Husmor,Housewife,41,134,4900,Hedmark fylke,7,
362,1238,RQH,Gerda Ragnhild Queseth,Haarstad,Husmor,Housewife,41,138,4900,Hedmark fylke,3,
2103,1173,AHO,Hans Anders,Hornslien,Kontorsekretær,Secretary,21,138,3900,Oslo,,3
2103,1173,AHO,Hans Anders,Hornslien,Kontorsekretær,Secretary,21,142,3900,Oslo,,1
1103,853,EGR,Hans Edvard,Grimstad,"Bonde, sivilagronom",Farmer and agronomist (graduate),41,134,1900,Østfold fylke,9,
1103,853,EGR,Hans Edvard,Grimstad,"Bonde, sivilagronom",Farmer and agronomist (graduate),41,138,1900,Østfold fylke,3,
542,1708,WIMI,Isak William,Mikkelsen,Arbeider,Worker,21,90,20900,Finnmark fylke,,1
1141,1673,STMA,Jan Steinar,Maribo,Disponent,General manager,81,134,6900,Buskerud fylke,4,
26397,2348,OSST,Johan Oskar,Steinvik,,,21,102,16900,Sør-Trøndelag fylke,,3
26299,1838,ANNR,Jørgen Anker,Nordbø,,,13,118,8900,Telemark fylke,,1
612,1932,SIOL,Karl Sigmund,Olsen,Gartner,Gardener,71,102,9900,Aust-Agder fylke,,1
612,1932,SIOL,Karl Sigmund,Olsen,Handelsgartner,Market gardener,71,106,9900,Aust-Agder fylke,,1
612,1932,SIOL,Karl Sigmund,Olsen,Handelsgartner,Market gardener,71,110,9900,Aust-Agder fylke,,1
26159,1007,GUHU,Lars Gunvald,Hauge,,,21,94,3900,Oslo,,4
26159,1007,GUHU,Lars Gunvald,Hauge,,,21,98,3900,Oslo,,5
26159,1007,GUHU,Lars Gunvald,Hauge,,,21,102,3900,Oslo,,6
26414,2423,ARSV,Ole Arnljot,Svendsen,,,71,118,12900,Hordaland fylke,,2
