NUM,PERIODE,SES,SAL,KART,SAK,VOTNR,VOTERING,SETENR,PERSON,PARTI
1773932,142,144,1,2,1,1,1,3,2302,81
1773933,142,144,1,2,1,1,1,7,1134,81
1773934,142,144,1,2,1,1,1,17,2288,81
1773935,142,144,1,2,1,1,1,26,2292,81
1773936,142,144,1,2,1,1,1,39,2330,81
1773937,142,144,1,2,1,1,1,46,676,81
1773938,142,144,1,2,1,1,1,62,1157,81
1773939,142,144,1,2,1,1,1,69,2336,81
1773940,142,144,1,2,1,1,1,72,2315,51
1773941,142,144,1,2,1,1,1,87,2323,81
1773942,142,144,1,2,1,1,1,108,1152,81
1773943,142,144,1,2,1,1,1,125,1102,81
1773944,142,144,1,2,1,1,1,132,2290,81
1773945,142,144,1,2,1,1,1,140,2333,81
1773946,142,144,1,2,1,1,1,144,2318,81
1773947,142,144,1,2,1,1,1,152,26580,81
1773948,142,144,1,2,1,1,1,157,26581,81
1773949,142,144,1,2,1,1,1,160,1124,81
1773950,142,144,1,2,1,1,2,2,2297,51
1773951,142,144,1,2,1,1,2,5,2320,51
1773952,142,144,1,2,1,1,2,6,1001,21
1773953,142,144,1,2,1,1,2,9,2338,51
1773954,142,144,1,2,1,1,2,10,141,21
1773955,142,144,1,2,1,1,2,13,2119,21
1773956,142,144,1,2,1,1,2,15,2106,21
1773957,142,144,1,2,1,1,2,16,2340,51
1773958,142,144,1,2,1,1,2,18,2145,21
1773959,142,144,1,2,1,1,2,19,1219,71
1773960,142,144,1,2,1,1,2,20,2287,14
1773961,142,144,1,2,1,1,2,21,2285,21
1773962,142,144,1,2,1,1,2,22,2286,31
1773963,142,144,1,2,1,1,2,23,2339,41
1773964,142,144,1,2,1,1,2,25,4071,21
1773965,142,144,1,2,1,1,2,27,1273,71
1773966,142,144,1,2,1,1,2,28,130,21
1773967,142,144,1,2,1,1,2,29,2291,51
1773968,142,144,1,2,1,1,2,30,1330,21
1773969,142,144,1,2,1,1,2,33,2245,14
1773970,142,144,1,2,1,1,2,34,2313,51
1773971,142,144,1,2,1,1,2,35,1112,21
1773972,142,144,1,2,1,1,2,37,1003,21
1773973,142,144,1,2,1,1,2,38,2152,41
1773974,142,144,1,2,1,1,2,40,1181,21
1773975,142,144,1,2,1,1,2,41,2331,51
1773976,142,144,1,2,1,1,2,42,2126,71
1773977,142,144,1,2,1,1,2,43,1289,14
1773978,142,144,1,2,1,1,2,44,425,21
1773979,142,144,1,2,1,1,2,45,2250,51
1773980,142,144,1,2,1,1,2,48,2157,71
1773981,142,144,1,2,1,1,2,49,1101,21
1773982,142,144,1,2,1,1,2,52,2216,31
1773983,142,144,1,2,1,1,2,53,4084,71
1773984,142,144,1,2,1,1,2,55,2135,21
1773985,142,144,1,2,1,1,2,56,2332,14
1773986,142,144,1,2,1,1,2,58,2177,51
1773987,142,144,1,2,1,1,2,59,2337,31
1773988,142,144,1,2,1,1,2,64,2191,71
1773989,142,144,1,2,1,1,2,67,1105,21
1773990,142,144,1,2,1,1,2,70,2111,21
1773991,142,144,1,2,1,1,2,74,1310,41
1773992,142,144,1,2,1,1,2,75,2142,21
1773993,142,144,1,2,1,1,2,77,1143,14
1773994,142,144,1,2,1,1,2,78,1180,21
1773995,142,144,1,2,1,1,2,81,2153,21
1773996,142,144,1,2,1,1,2,83,1037,21
1773997,142,144,1,2,1,1,2,84,2149,41
1773998,142,144,1,2,1,1,2,90,204,71
1773999,142,144,1,2,1,1,2,92,1146,21
1774000,142,144,1,2,1,1,2,93,702,71
1774001,142,144,1,2,1,1,2,94,1118,21
1774002,142,144,1,2,1,1,2,98,2325,21
1774003,142,144,1,2,1,1,2,99,2301,71
1774004,142,144,1,2,1,1,2,102,357,71
1774005,142,144,1,2,1,1,2,104,4302,31
1774006,142,144,1,2,1,1,2,106,2154,21
1774007,142,144,1,2,1,1,2,107,1221,51
1774008,142,144,1,2,1,1,2,109,2239,71
1774009,142,144,1,2,1,1,2,111,2189,51
1774010,142,144,1,2,1,1,2,114,1301,41
1774011,142,144,1,2,1,1,2,115,2328,71
1774012,142,144,1,2,1,1,2,117,2298,14
1774013,142,144,1,2,1,1,2,118,621,21
1774014,142,144,1,2,1,1,2,119,1024,51
1774015,142,144,1,2,1,1,2,120,2141,41
1774016,142,144,1,2,1,1,2,121,1145,21
1774017,142,144,1,2,1,1,2,123,2218,21
1774018,142,144,1,2,1,1,2,124,2299,21
1774019,142,144,1,2,1,1,2,126,2329,51
1774020,142,144,1,2,1,1,2,127,2125,21
