last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Abrahamsen,Lars Kristian,1855-1921,str,HD,1908-1910,"Abrahamsen, Lars Kristian (1855-1921) str HD 1908-1910, str JD 1913-1916, str SOS 1916-1919",
Abrahamsen,Lars Kristian,1855-1921,str,JD,1913-1916,"Abrahamsen, Lars Kristian (1855-1921) str HD 1908-1910, str JD 1913-1916, str SOS 1916-1919",
Abrahamsen,Lars Kristian,1855-1921,str,SOS,1916-1919,"Abrahamsen, Lars Kristian (1855-1921) str HD 1908-1910, str JD 1913-1916, str SOS 1916-1919",
Agdestein,Marianne Aasen,1967-,pol rådg,KRD,2000-2001,"Agdestein, Marianne Aasen (1967-) pol rådg KRD 2000-2001",
Akselsen,Olav,1965-,str,OED,2000-2001,"Akselsen, Olav (1965-) str OED 2000-2001",
Aleksandersen,Oddny,1942-,pers sekr,JD,1981,"Aleksandersen, Oddny (1942-) pers sekr JD 1981, str AAD 1992, str AD 1993",
Aleksandersen,Oddny,1942-,str,AAD,1992,"Aleksandersen, Oddny (1942-) pers sekr JD 1981, str AAD 1992, str AD 1993",
Aleksandersen,Oddny,1942-,str,AD,1993,"Aleksandersen, Oddny (1942-) pers sekr JD 1981, str AAD 1992, str AD 1993",
Alfheim,Frode,1967-,pol rådg,FD,1996,"Alfheim, Frode (1967-) pol rådg FD 1996, pol rådg NOE 1996, pol rådg NHD 1997, pol rådg AAD 2001",
Alfheim,Frode,1967-,pol rådg,NOE,1996,"Alfheim, Frode (1967-) pol rådg FD 1996, pol rådg NOE 1996, pol rådg NHD 1997, pol rådg AAD 2001",
Alfheim,Frode,1967-,pol rådg,NHD,1997,"Alfheim, Frode (1967-) pol rådg FD 1996, pol rådg NOE 1996, pol rådg NHD 1997, pol rådg AAD 2001",
Alfheim,Frode,1967-,pol rådg,AAD,2001,"Alfheim, Frode (1967-) pol rådg FD 1996, pol rådg NOE 1996, pol rådg NHD 1997, pol rådg AAD 2001",
Alfsen,Berit,1941-,pers rådg,KAD,1986-1986,"Alfsen, Berit (1941-) pers rådg KAD 1986-1986",
Almlid,Kolbjørn,1945-,stsekr,OED,1989-1990,"Almlid, Kolbjørn (1945-) stsekr OED 1989-1990",
Alstadheim,Håvard,1936-1998,stsekr,FIN,1972-1973,"Alstadheim, Håvard (1936-1998) stsekr FIN 1972-1973",
Alvestad,Anton Ludvig,1883-1956,str,HD,1928,"Alvestad, Anton Ludvig (1883-1956) str HD 1928",
Alvheim,Kjell,1944-,stsekr,PSD,1997,"Alvheim, Kjell (1944-) stsekr PSD 1997, stsekr AAD 1998-1999, stsekr FD 1999-2000",
Alvheim,Kjell,1944-,stsekr,AAD,1998-1999,"Alvheim, Kjell (1944-) stsekr PSD 1997, stsekr AAD 1998-1999, stsekr FD 1999-2000",
Alvheim,Kjell,1944-,stsekr,FD,1999-2000,"Alvheim, Kjell (1944-) stsekr PSD 1997, stsekr AAD 1998-1999, stsekr FD 1999-2000",
Amundsen,Hans Kristian,1959-,stsekr,FKD,2011,"Amundsen, Hans Kristian (1959-)stsekr FKD 2011, stsekr SMK 2011-2013",
Amundsen,Hans Kristian,1959-,stsekr,SMK,2011-2013,"Amundsen, Hans Kristian (1959-)stsekr FKD 2011, stsekr SMK 2011-2013",
Amundsen,Olaf,1876-1939,str,JD,1921-1922,"Amundsen, Olaf (1876-1939) str JD 1921-1922",
Amundsen,Per-Willy Trudvang,1971-,stsekr,KRD,,"Amundsen, Per-Willy Trudvang (1971-)stsekr KRD, FAD og MD 2013, stsekr KMD 2014-",
Amundsen,Per-Willy Trudvang,1971-,FAD og,MD,2013,"Amundsen, Per-Willy Trudvang (1971-)stsekr KRD, FAD og MD 2013, stsekr KMD 2014-",
Amundsen,Per-Willy Trudvang,1971-,stsekr,KMD,2014-,"Amundsen, Per-Willy Trudvang (1971-)stsekr KRD, FAD og MD 2013, stsekr KMD 2014-",
error,,,,,,"Andenæs, Tønnes Madsson(1923-1975) stsekr KUD 1965",
Andersen,Andreas Martinius,1903-1976,stsekr,FD,1951,"Andersen, Andreas Martinius (1903-1976) stsekr FD 1951, stsekr FD 1951-1952",
Andersen,Andreas Martinius,1903-1976,stsekr,FD,1951-1952,"Andersen, Andreas Martinius (1903-1976) stsekr FD 1951, stsekr FD 1951-1952",
Andersen,Anne Lise,1945-,pers sekr,SOS,1979-1981,"Andersen, Anne Lise (1945-) pers sekr SOS 1979-1981, pers sekr SOS 1981",
Andersen,Anne Lise,1945-,pers sekr,SOS,1981,"Andersen, Anne Lise (1945-) pers sekr SOS 1979-1981, pers sekr SOS 1981",
Andersen,Bjørn,1944-,pers sekr,SD,1981-1983,"Andersen, Bjørn (1944-) pers sekr SD 1981-1983, stsekr HSD 1983-1986",
Andersen,Bjørn,1944-,stsekr,HSD,1983-1986,"Andersen, Bjørn (1944-) pers sekr SD 1981-1983, stsekr HSD 1983-1986",
Andersen,Dag Terje,1957-,pers rådg,UD,1992,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,pol rådg,UD,1992,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,stsekr,SOS,1992,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,str,LD,1996-1997,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,str,NHD,2006-2008,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,også fung str,FKD,2006-2007,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Dag Terje,1957-,str,AID,2008-2009,"Andersen, Dag Terje (1957-) pers rådg UD 1992, pol rådg UD 1992, stsekr SOS 1992, str LD 1996-1997, str NHD 2006-2008, også fung str FKD 2006-2007, str AID 2008-2009",
Andersen,Finn Johan,1934-1993,pers rådg,KUF,1984-1985,"Andersen, Finn Johan (1934-1993) pers rådg KUF 1984-1985",
Andersen,Magnus Kristoffer,1916-1994,str,FID,1963-1965,"Andersen, Magnus Kristoffer (1916-1994) str FID 1963-1965, str FID 1972",
Andersen,Magnus Kristoffer,1916-1994,str,FID,1972,"Andersen, Magnus Kristoffer (1916-1994) str FID 1963-1965, str FID 1972",
Andersen,Per Alf,1948-,stsekr,FID,1990-1992,"Andersen, Per Alf (1948-) stsekr FID 1990-1992",
Andersen,Tor,1954-,pers sekr,IND,1981-1986,"Andersen, Tor (1954-) pers sekr IND 1981-1986",
Andersland,Geir Kjell,1948-,stsekr,SOS,1989-1990,"Andersland, Geir Kjell (1948-) stsekr SOS 1989-1990",
Anderssen-Rysst,Torgeir,1888-1958,str,FD,1928-1931,"Anderssen-Rysst, Torgeir (1888-1958) str FD 1928-1931",
Andreassen,Harriet,1925-1997,str,KAD,1980-1981,"Andreassen, Harriet (1925-1997) str KAD 1980-1981, str KAD 1981",
Andreassen,Harriet,1925-1997,str,KAD,1981,"Andreassen, Harriet (1925-1997) str KAD 1980-1981, str KAD 1981",
Andreassen,Jorhill,1948-,pol rådg,FID,2001-2004,"Andreassen, Jorhill (1948-) pol rådg FID 2001-2004, pol rådg FKD 2004-2005",
Andreassen,Jorhill,1948-,pol rådg,FKD,2004-2005,"Andreassen, Jorhill (1948-) pol rådg FID 2001-2004, pol rådg FKD 2004-2005",
Andreassen,Marianne van den Houten,1961-,pers sekr,UD (hs),1992,"Andreassen, Marianne van den Houten (1961-) pers sekr UD (hs) 1992, pol rådg UD (hs) 1992-1993, stsekr UD (hs) 1993-1994, stsekr FIN 1994-1996, stsekr FIN 1996-1997",
