AC;J
ADA; 
AESO; 
AGEA;J
AGES;J
AKSH;J
AAST; 
UIL; 
VKG; 
WAP;N
WO;N
ØH; 
ØYVH;N
TRI; 
TROH;N
TRUW;N
TSG; 
TSOL;N
UEK; 
TMS;N
TMV;J
TOHA;N
TON;N
TOVT;N
TR; 
TAS;N
TEF; 
TELA; 
TKK;N
TL; 
TLB; 
SOM; 
SONS;N
STRH;N
SUB; 
TALI; 
TAR;N
SHK;J
SIVJ; 
SMY; 
SNV;J
SOE;N
SOH; 
PTA;J
RAE; 
RE;J
SAF; 
SAG;N
SHAR; 
PEG;N
PEMY;J
PES; 
PKF;N
PO;J
POL;J
NIMJ;N
OG;J
OLET;N
OVA;J
OYK; 
PB; 
MN; 
MOJ;J
MORH; 
MSKR;N
MAAA; 
NA;J
LRE;J
LVA;N
MAGR;N
MAKO; 
MAM;N
MIT; 
LAG;N
LAT;N
LCH; 
LHH; 
LILH;N
LMY; 
KKK;J
KNAH;J
KNO;J
KSIM;N
KSTO;J
KY; 
KARH;N
KBH;N
KES;J
KETS;J
KJR;J
KJT; 
JGD;J
JKL; 
JONG;J
JSN; 
JTS;N
KAGE;N
IVK; 
JAE; 
JASP; 
JBO; 
JF; 
JFC; 
IDH;J
IME; 
IMT; 
IOL;N
IRLN;J
ISC;N
HOSY;J
HSK;J
HTA;N
IAG;J
IAS;N
IBTH;J
HEH; 
HEIG;J
HEW; 
HHL;J
HML;N
HNJ;J
GJK;N
GKB;J
GKG;N
GOK;N
GUE; 
HAFA; 
FR;N
FS;J
GAG;N
GEHN;J
GJB;J
GJH; 
ELN;N
ES;N
EVH;N
FB;N
FBJ; 
FIR;J
DOT;N
DTA;N
EAS;N
EBO; 
EIRS;N
EKS;N
BVS; 
BÅH;J
CNR; 
CT; 
DE;J
DH; 
BEM;N
BENH;N
BERG;J
BLO;N
BT;J
BTH; 
ARK;N
ARLH; 
ASC; 
ATW;J
AWE; 
BEHA;N
ALEH; 
ALJ;N
ANA; 
ANES;J
ANMB;N
AREH; 
