nsd-polsys-id;stortinget-perid
1;OLAA
2;GUAL
3;PEAL
4;SVAL
5;PEAV
6;ANAL
7;T_OAN
9;JOAN
10;LIAN
11;MAAN
12;RAAD
13;TOAN
14;DAAN
16;RUAN
17;SVAN
18;JOAR
20;PAN
21;ANAT
22;GEAP
23;ARAR
24;GUAR
25;ERAS
26;KRAS
27;ARAK
28;ANAU
30;JOAU
31;TOAU
32;JOAS
33;BEBA
34;HBA
35;ANBA
36;INBA
37;AGBA
38;INBR
40;JABN
41;OLBE
42;ARBE
43;HBE
44;HABR
45;JABE
46;KIBE
47;ANBE
48;GUB
49;TOBR
51;OLBR
53;BJBE
54;JOBT
55;PABE
56;TB
57;ODBE
58;BEBR
62;HABJ
63;HABK
64;AABJ
66;_OYBJ
67;JABJ
68;ALBJ
69;LEBL
70;HBL
71;BIBL
72;KRBO
73;KJBH
74;EIBO
75;KMB
76;KJBN
77;BRBO
78;FRBO
79;HABO
80;KJBO
81;PEBO
82;INBO
83;LUBO
84;TRBR
86;WIBR
88;LABR
90;BIBR
91;H_ABR
92;REBR
93;HABV
97;HABM
98;OTBR
99;GHB
100;EIBR
102;RIBR
104;BIBY
105;OLB_E
106;ERBA
107;BOBR
108;ELB_A
110;TRBU
111;HABU
112;LEBU
113;JOBU
114;MABU
115;ROBY
118;HEB_O
119;ANB_O
121;DICA
122;RECA
124;RACH
125;HACH
126;JODA
127;OTDA
128;OLDA
129;PADA
130;ED
131;RADL
132;HADA
133;PEDI
134;ANDJ
135;OLDJ
138;REDU
139;JODY
140;THDY
141;AD
142;ODD_O
143;EDED
144;KAED
145;OSED
147;BJEA
148;HEEI
149;INEI
150;MAEI
152;HAEI
153;HAEK
154;OLEI
155;IVEI
157;AREL
158;HE
159;EGEN
160;JAEN
161;EREN
162;JOEN
163;GUEN
164;ELER
165;LEER
166;EGER
168;IRER
169;IVER
170;OLER
171;STER
172;SNER
173;ERER
174;CHER
175;MOES
177;LAEV
178;TIEV
179;HAEV
180;ASFD
181;ODFA
182;ASFA
183;SVFA
184;OSFA
185;CLFE
187;BBJ
188;J_OFI
190;KRFJ
191;_OIFJ
192;ROFJ
193;KAFJ
195;BJFJ
196;EDFJ
197;ODFL
198;ISFL
199;BJFL
200;GUFL
